word,count
trump,3214
great,2764
all,1834
president,1499
realdonaldtrump,1398
people,1314
new,1231
now,1146
america,1113
very,1087
can,1037
country,1035
thank,1031
get,993
should,932
biden,915
more,910
election,888
never,886
would,869
like,818
time,815
been,805
make,801
obama,800
thanks,794
big,789
one,780
today,770
don,721
