regime,n_words,n_chars,n_hashtags,has_url,share_upper,n_exclam,n_question
pre,15.633217215417462,103.41409147095179,0.07405326441173166,0.3055399483087987,0.0940603889094337,0.2852005843353186,0.0730419148218901
power,22.2928261781569,142.38917633897358,0.19465808977765348,0.38679904908404417,0.14839438750964076,0.6517969514753181,0.06250874003635855
post,26.743891720864827,206.82369484970997,0.027772895060643347,0.5194234487607664,0.15477785647874676,0.6299876955528212,0.1172438038319564
