word,count
trump,1318
biden,711
all,671
great,668
president,649
election,575
america,492
new,455
country,453
people,452
now,406
joe,404
never,366
get,332
been,331
very,329
would,322
should,321
make,310
again,298
like,285
there,274
case,274
can,271
which,266
crooked,266
one,265
state,262
judge,262
against,258
