word,count
great,1133
trump,785
president,659
all,655
realdonaldtrump,636
people,575
thank,555
very,487
now,457
new,391
america,391
today,389
country,381
more,379
democrats,374
news,346
big,343
been,330
get,329
would,320
never,299
than,294
vote,290
can,283
time,279
make,277
should,273
whitehouse,270
american,268
many,263
